lr,hidden,batch,l2,activation,seed_count,val_acc_mean,val_acc_std,best_val_acc_single_seed,best_epoch_at_best_seed,elapsed_sec,seed_details
0.05,128,64,0.0001,relu,5,0.873900,0.001282,0.875000,14,70.77,"[{""seed"": 42, ""best_val_acc"": 0.875, ""best_epoch"": 14}, {""seed"": 52, ""best_val_acc"": 0.87475, ""best_epoch"": 18}, {""seed"": 62, ""best_val_acc"": 0.8715, ""best_epoch"": 17}, {""seed"": 72, ""best_val_acc"": 0.8745833333333334, ""best_epoch"": 17}, {""seed"": 82, ""best_val_acc"": 0.8736666666666667, ""best_epoch"": 17}]"
0.05,128,64,0.001,relu,5,0.872550,0.001689,0.874083,16,68.33,"[{""seed"": 42, ""best_val_acc"": 0.87375, ""best_epoch"": 14}, {""seed"": 52, ""best_val_acc"": 0.8740833333333333, ""best_epoch"": 16}, {""seed"": 62, ""best_val_acc"": 0.8693333333333333, ""best_epoch"": 13}, {""seed"": 72, ""best_val_acc"": 0.87275, ""best_epoch"": 17}, {""seed"": 82, ""best_val_acc"": 0.8728333333333333, ""best_epoch"": 17}]"
0.05,256,64,0.0001,relu,5,0.874700,0.000414,0.875417,16,169.16,"[{""seed"": 42, ""best_val_acc"": 0.8744166666666666, ""best_epoch"": 18}, {""seed"": 52, ""best_val_acc"": 0.8749166666666667, ""best_epoch"": 15}, {""seed"": 62, ""best_val_acc"": 0.8744166666666666, ""best_epoch"": 18}, {""seed"": 72, ""best_val_acc"": 0.8754166666666666, ""best_epoch"": 16}, {""seed"": 82, ""best_val_acc"": 0.8743333333333333, ""best_epoch"": 18}]"
0.05,256,64,0.001,relu,5,0.873350,0.000600,0.873833,18,178.51,"[{""seed"": 42, ""best_val_acc"": 0.8738333333333334, ""best_epoch"": 18}, {""seed"": 52, ""best_val_acc"": 0.8735833333333334, ""best_epoch"": 17}, {""seed"": 62, ""best_val_acc"": 0.8721666666666666, ""best_epoch"": 14}, {""seed"": 72, ""best_val_acc"": 0.8735833333333334, ""best_epoch"": 16}, {""seed"": 82, ""best_val_acc"": 0.8735833333333334, ""best_epoch"": 18}]"
0.07,128,64,0.0001,relu,5,0.878717,0.000930,0.880333,14,103.04,"[{""seed"": 42, ""best_val_acc"": 0.8803333333333333, ""best_epoch"": 14}, {""seed"": 52, ""best_val_acc"": 0.8785833333333334, ""best_epoch"": 16}, {""seed"": 62, ""best_val_acc"": 0.8776666666666667, ""best_epoch"": 17}, {""seed"": 72, ""best_val_acc"": 0.879, ""best_epoch"": 15}, {""seed"": 82, ""best_val_acc"": 0.878, ""best_epoch"": 16}]"
0.07,128,64,0.001,relu,5,0.876767,0.001363,0.878583,14,66.14,"[{""seed"": 42, ""best_val_acc"": 0.8785833333333334, ""best_epoch"": 14}, {""seed"": 52, ""best_val_acc"": 0.8774166666666666, ""best_epoch"": 16}, {""seed"": 62, ""best_val_acc"": 0.8744166666666666, ""best_epoch"": 12}, {""seed"": 72, ""best_val_acc"": 0.8765833333333334, ""best_epoch"": 17}, {""seed"": 82, ""best_val_acc"": 0.8768333333333334, ""best_epoch"": 18}]"
0.07,256,64,0.0001,relu,5,0.881967,0.001080,0.883750,18,562.19,"[{""seed"": 42, ""best_val_acc"": 0.8815833333333334, ""best_epoch"": 16}, {""seed"": 52, ""best_val_acc"": 0.8814166666666666, ""best_epoch"": 18}, {""seed"": 62, ""best_val_acc"": 0.8825, ""best_epoch"": 16}, {""seed"": 72, ""best_val_acc"": 0.88375, ""best_epoch"": 18}, {""seed"": 82, ""best_val_acc"": 0.8805833333333334, ""best_epoch"": 15}]"
0.07,256,64,0.001,relu,5,0.879067,0.000909,0.880583,17,732.87,"[{""seed"": 42, ""best_val_acc"": 0.8785833333333334, ""best_epoch"": 16}, {""seed"": 52, ""best_val_acc"": 0.879, ""best_epoch"": 15}, {""seed"": 62, ""best_val_acc"": 0.8793333333333333, ""best_epoch"": 18}, {""seed"": 72, ""best_val_acc"": 0.8805833333333334, ""best_epoch"": 17}, {""seed"": 82, ""best_val_acc"": 0.8778333333333334, ""best_epoch"": 13}]"
0.09,128,64,0.0001,relu,5,0.883233,0.001460,0.885333,14,444.11,"[{""seed"": 42, ""best_val_acc"": 0.8853333333333333, ""best_epoch"": 14}, {""seed"": 52, ""best_val_acc"": 0.8820833333333333, ""best_epoch"": 14}, {""seed"": 62, ""best_val_acc"": 0.8819166666666667, ""best_epoch"": 17}, {""seed"": 72, ""best_val_acc"": 0.8846666666666667, ""best_epoch"": 17}, {""seed"": 82, ""best_val_acc"": 0.8821666666666667, ""best_epoch"": 18}]"
0.09,128,64,0.001,relu,5,0.880417,0.000709,0.881333,14,240.26,"[{""seed"": 42, ""best_val_acc"": 0.8813333333333333, ""best_epoch"": 14}, {""seed"": 52, ""best_val_acc"": 0.8808333333333334, ""best_epoch"": 18}, {""seed"": 62, ""best_val_acc"": 0.87925, ""best_epoch"": 18}, {""seed"": 72, ""best_val_acc"": 0.8805833333333334, ""best_epoch"": 18}, {""seed"": 82, ""best_val_acc"": 0.8800833333333333, ""best_epoch"": 17}]"
0.09,256,64,0.0001,relu,5,0.886567,0.001235,0.887667,18,168.72,"[{""seed"": 42, ""best_val_acc"": 0.8866666666666667, ""best_epoch"": 16}, {""seed"": 52, ""best_val_acc"": 0.88425, ""best_epoch"": 13}, {""seed"": 62, ""best_val_acc"": 0.8876666666666667, ""best_epoch"": 18}, {""seed"": 72, ""best_val_acc"": 0.8875833333333333, ""best_epoch"": 16}, {""seed"": 82, ""best_val_acc"": 0.8866666666666667, ""best_epoch"": 18}]"
0.09,256,64,0.001,relu,5,0.882817,0.000742,0.883917,17,166.67,"[{""seed"": 42, ""best_val_acc"": 0.8831666666666667, ""best_epoch"": 15}, {""seed"": 52, ""best_val_acc"": 0.8816666666666667, ""best_epoch"": 18}, {""seed"": 62, ""best_val_acc"": 0.8825, ""best_epoch"": 18}, {""seed"": 72, ""best_val_acc"": 0.8839166666666667, ""best_epoch"": 17}, {""seed"": 82, ""best_val_acc"": 0.8828333333333334, ""best_epoch"": 15}]"
0.1,128,64,0.0001,relu,5,0.884967,0.000942,0.886500,14,68.00,"[{""seed"": 42, ""best_val_acc"": 0.8865, ""best_epoch"": 14}, {""seed"": 52, ""best_val_acc"": 0.8844166666666666, ""best_epoch"": 16}, {""seed"": 62, ""best_val_acc"": 0.8844166666666666, ""best_epoch"": 16}, {""seed"": 72, ""best_val_acc"": 0.8855833333333333, ""best_epoch"": 17}, {""seed"": 82, ""best_val_acc"": 0.8839166666666667, ""best_epoch"": 16}]"
0.1,128,64,0.001,relu,5,0.881817,0.000777,0.883083,14,69.08,"[{""seed"": 42, ""best_val_acc"": 0.8830833333333333, ""best_epoch"": 14}, {""seed"": 52, ""best_val_acc"": 0.8821666666666667, ""best_epoch"": 18}, {""seed"": 62, ""best_val_acc"": 0.88075, ""best_epoch"": 17}, {""seed"": 72, ""best_val_acc"": 0.8815833333333334, ""best_epoch"": 17}, {""seed"": 82, ""best_val_acc"": 0.8815, ""best_epoch"": 17}]"
0.1,256,64,0.0001,relu,5,0.888700,0.001460,0.890083,18,166.22,"[{""seed"": 42, ""best_val_acc"": 0.8881666666666667, ""best_epoch"": 11}, {""seed"": 52, ""best_val_acc"": 0.8860833333333333, ""best_epoch"": 17}, {""seed"": 62, ""best_val_acc"": 0.8900833333333333, ""best_epoch"": 18}, {""seed"": 72, ""best_val_acc"": 0.88975, ""best_epoch"": 18}, {""seed"": 82, ""best_val_acc"": 0.8894166666666666, ""best_epoch"": 17}]"
0.1,256,64,0.001,relu,5,0.884350,0.000604,0.885083,15,167.90,"[{""seed"": 42, ""best_val_acc"": 0.8843333333333333, ""best_epoch"": 15}, {""seed"": 52, ""best_val_acc"": 0.88325, ""best_epoch"": 18}, {""seed"": 62, ""best_val_acc"": 0.8845, ""best_epoch"": 17}, {""seed"": 72, ""best_val_acc"": 0.8845833333333334, ""best_epoch"": 17}, {""seed"": 82, ""best_val_acc"": 0.8850833333333333, ""best_epoch"": 15}]"
