epoch,lr,train_ce_loss,val_ce_loss,train_total_loss,val_total_loss,train_acc,val_acc,tracked_total_loss,tracked_acc,tracked_metric_source,batch_loss,weight_norm_w1,weight_norm_w2
0,0.2,0.40911170840263367,nan,0.4382096827030182,nan,0.8532833333333333,nan,0.4382096827030182,0.8532833333333333,train,0.6074236556728766,23.216875076293945,6.552552223205566
1,0.19979453927503366,0.36939918994903564,nan,0.3998890519142151,nan,0.86895,nan,0.3998890519142151,0.86895,train,0.44311051872938173,23.551420211791992,7.424810886383057
2,0.1991790013823246,0.38512668013572693,nan,0.4167481064796448,nan,0.8564166666666667,nan,0.4167481064796448,0.8564166666666667,train,0.40045936153069744,23.824934005737305,8.049894332885742
3,0.19815591569910654,0.3346956968307495,nan,0.3672789931297302,nan,0.8731166666666667,nan,0.3672789931297302,0.8731166666666667,train,0.3762105206436694,24.060665130615234,8.529370307922363
4,0.19672948630390297,0.30542507767677307,nan,0.3389514684677124,nan,0.8887833333333334,nan,0.3389514684677124,0.8887833333333334,train,0.3564990751429407,24.286611557006836,8.982667922973633
5,0.19490557470106687,0.2942488491535187,nan,0.32862815260887146,nan,0.8907166666666667,nan,0.32862815260887146,0.8907166666666667,train,0.3433551251062198,24.4898738861084,9.371891975402832
6,0.1926916757346022,0.28678733110427856,nan,0.3219432234764099,nan,0.8952333333333333,nan,0.3219432234764099,0.8952333333333333,train,0.3302807939300405,24.674142837524414,9.711066246032715
7,0.19009688679024192,0.2590126097202301,nan,0.2949310541152954,nan,0.9053333333333333,nan,0.2949310541152954,0.9053333333333333,train,0.3186870062513265,24.85176658630371,10.037857055664062
8,0.18713187041233895,0.2801373600959778,nan,0.31678080558776855,nan,0.8967833333333334,nan,0.31678080558776855,0.8967833333333334,train,0.3097896549477379,25.020265579223633,10.337080001831055
9,0.18380881048918407,0.24934108555316925,nan,0.2866840064525604,nan,0.9077666666666667,nan,0.2866840064525604,0.9077666666666667,train,0.30280825297143665,25.181272506713867,10.618946075439453
10,0.18014136218679566,0.2453702837228775,nan,0.2833592891693115,nan,0.9107166666666666,nan,0.2833592891693115,0.9107166666666666,train,0.2939341785525208,25.330604553222656,10.869255065917969
11,0.17614459583691344,0.2630431056022644,nan,0.3016384541988373,nan,0.9037666666666667,nan,0.3016384541988373,0.9037666666666667,train,0.2873718357845537,25.466594696044922,11.106727600097656
12,0.17183493500977276,0.22440384328365326,nan,0.26360780000686646,nan,0.9162333333333333,nan,0.26360780000686646,0.9162333333333333,train,0.2807768300842883,25.600038528442383,11.345369338989258
13,0.16723008902613168,0.26219257712364197,nan,0.3019598126411438,nan,0.8997333333333334,nan,0.3019598126411438,0.8997333333333334,train,0.27445201559075666,25.722415924072266,11.562967300415039
14,0.16234898018587338,0.21745605766773224,nan,0.25778529047966003,nan,0.9215333333333333,nan,0.25778529047966003,0.9215333333333333,train,0.268265475239009,25.840103149414062,11.784473419189453
15,0.15721166601221698,0.22129914164543152,nan,0.2621577978134155,nan,0.9187333333333333,nan,0.2621577978134155,0.9187333333333333,train,0.26160980679237766,25.94735336303711,11.996167182922363
16,0.15183925683105254,0.20242135226726532,nan,0.243756964802742,nan,0.92605,nan,0.243756964802742,0.92605,train,0.25727637969195716,26.043546676635742,12.18384075164795
17,0.14625382902408354,0.2009238302707672,nan,0.24271386861801147,nan,0.9273,nan,0.24271386861801147,0.9273,train,0.251342828443119,26.129671096801758,12.37098503112793
18,0.14047833431223938,0.19058017432689667,nan,0.23281849920749664,nan,0.9316833333333333,nan,0.23281849920749664,0.9316833333333333,train,0.24780386240719987,26.212657928466797,12.55639362335205
